,Location,
477,NPPD_MCCOOK,
478,NPPD_MEAN_SCRI,
479,NPPD_NELI_LD,
480,NPPD_NPLATTE_1,
481,NPPD_NPLATTE_2,
482,NPPD_NPPD,
483,NPPD_SHLD_1,
484,NPPD_SHLD_2,
485,NPPD_STLFTW,
486,NPPD_UGPM_NEIRRG,
487,NSB,
489,NSSO,
490,NYIS,
491,OKGE.25MC.25MC,
492,OKGE.AECC.CHISHOLM2,
493,OKGE.AFGE.AFGE100,
494,OKGE.AFGE.AFNEM1,
495,OKGE.BALKO.WIND.1,
496,OKGE.CCCO.COGEN,
497,OKGE.CSWS.RFWIND,
498,OKGE.CU.DUK.FRNTR,
499,OKGE.EAGL.RFWIND,
500,OKGE.ETEC.GCW,
501,OKGE.FRONTIER,
502,OKGE.FRT2.FRT2,
503,OKGE.GBST.BLUESTEM,
504,OKGE.GDSM.MINCO4,
505,OKGE.GGWT.GREATWESTERN,
506,OKGE.GLAS.GLAS,
507,OKGE.GRANTPLNS.WIND.1,
508,OKGE.GRDA.REDDIRT,
509,OKGE.HHW.HORIZON,
510,OKGE.KINGFISHER.WIND.1,
511,OKGE.LES.ARBKL,
512,OKGE.MNCI.MNCI,
513,OKGE.NTEC.GCW,
514,OKGE.OKGE.MT10,
515,OKGE.OKGE.MT11,
516,OKGE.OKGE.MT12,
517,OKGE.OKGE.MT6,
518,OKGE.OKGE.MT7,
519,OKGE.OKGE.MT8,
520,OKGE.OKGE.MT9,
521,OKGE.OMPA.GRANTWIND,
522,OKGE.OMPA.INDNHYDRO,
523,OKGE.PCW1.PCW1,
524,OKGE.PNDA.PNDA,
525,OKGE.RCKW.RCKWIND,
526,OKGE.RDRT.REDDIRT,
527,OKGE.RIVERVALLEY,
528,OKGE.SC.WR.1,
529,OKGE.SC.WR.2,
530,OKGE.SC.WR.3,
531,OKGE.SC.WR.4,
532,OKGE.SDWE.SDWE,
533,OKGE.SUEZ.KPLN,
534,OKGE.SWCV.CV,
535,OKGE.TNDR.THUNDERRANCH1,
536,OKGE.TNDR.THUNDERRANCH2,
537,OKGE.TNSK.DSW,
538,OKGE.TRWE.TRWE,
539,OKGE.TRWE.TRWE2,
540,OKGE.TRWE.TRWE3,
541,OKGE.VOLT.0026,
542,OKGE.VOLT.0027,
543,OKGE.VOLT.0028,
544,OKGE.VOLT.0029,
545,OKGE.VOLT.0030,
546,OKGE.VOLT.0031,
547,OKGE.VOLT.0033,
548,OKGE.VOLT.0034,
549,OKGE.VOLT.0035,
550,OKGE.VOLT.0036,
551,OKGE.VOLT.0037,
552,OKGE.VOLT.0038,
553,OKGE.VOLT.0039,
554,OKGE.VOLT.0040,
555,OKGE.VOLT.0041,
556,OKGE.VOLT.0043,
557,OKGE.VOLT.0049,
558,OKGE.VOLT.0061,
559,OKGE.VOLT.0062,
560,OKGE.VOLT.0063,
561,OKGE.VOLT.0064,
562,OKGE.VOLT.0065,
563,OKGE.VOLT.0066,
564,OKGE.VOLT.0068,
565,OKGE.VOLT.0069,
566,OKGE.VOLT.0070,
567,OKGE.VOLT.0071,
568,OKGE.VOLT.0109,
569,OKGE.VOLT.0110,
570,OKGE.VOLT.0112,
571,OKGE.VOLT.0115,
572,OKGE.VOLT.0116,
573,OKGE.VOLT.0118,
574,OKGE.VOLT.0125,
575,OKGE.VOLT.0126,
576,OKGE.VOLT.0127,
577,OKGE.VOLT.0128,
578,OKGE.VOLT.0129,
579,OKGE.VOLT.0132,
580,OKGE.VOLT.0134,
581,OKGE.VOLT.0138,
582,OKGE.VOLT.0140,
583,OKGE.VOLT.0143,
584,OKGE.VOLT.0149,
585,OKGE.VOLT.0150,
586,OKGE.VOLT.0154,
587,OKGE.VOLT.0155,
588,OKGE.VOLT.0156,
589,OKGE.VOLT.0166,
590,OKGE.VOLT.0167,
591,OKGE.VOLT.0169,
592,OKGE.VOLT.0170,
593,OKGE.VOLT.0171,
594,OKGE.VOLT.0176,
595,OKGE.VOLT.0177,
596,OKGE.VOLT.0179,
597,OKGE.VOLT.0194,
598,OKGE.VOLT.0195,
599,OKGE.VOLT.0197,
600,OKGE.VOLT.0198,
601,OKGE.VOLT.0208,
602,OKGE.VOLT.0209,
603,OKGE.VOLT.0210,
604,OKGE.WFEC.MINCO4WIND,
605,OKGE.WFEC.SKLCRKWIND,
606,OKGE.WR.PCWF,
607,OKGE.WSNR.WSNR,
608,OKGECENTWIND,
609,OKGECWBYWIND,
610,OKGEHL6,
611,OKGEHL7,
612,OKGEHL8,
613,OKGEHL910,
614,OKGEKEENANWIND,
615,OKGEMCC,
616,OKGEMK4,
617,OKGEMK5,
618,OKGEMK6,
619,OKGEREDBUD1,
620,OKGEREDBUD2,
621,OKGEREDBUD3,
622,OKGEREDBUD4,
623,OKGESM1,
624,OKGESM2,
625,OKGESM3,
626,OKGESO1,
627,OKGESO2,
628,OKGESPIRITWIND,
629,OKGETALOGAWIND,
630,OKGETINK5A,
631,OKGETINK5B,
632,OKGEXROADSWIND,
633,OKGE_CHISHOLM,
634,OKGE_CPAR_PARIS,
635,OKGE_MINCO2,
636,OKGE_OKGE,
637,OKGE_ORIGINWIND,
638,OKGE_SEILING,
639,OMLP,
640,OMPA_AEL,
641,OMPA_CV_OKGE,
642,OMPA_GENHUB,
643,OMPA_KAW,
644,OMPA_KNGFISHER,
645,OMPA_LAMB_1,
646,OMPA_LAVERNE,
647,OMPA_MANGUM,
648,OMPA_PAWHUSKA,
649,OMPA_PONCACITY_1_3,
650,OMPA_PONCACITY_2,
651,OMPA_PONCACITY_4,
652,OMPA_SPP,
